"Time","Location","Harvest","Fraction","pH"
0,"Huila","H1","testa",3.8
0,"Huila","H1","testa",3.8
0,"Huila","H1","testa",3.7
24,"Huila","H1","testa",3.7
24,"Huila","H1","testa",4.5
24,"Huila","H1","testa",3.9
48,"Huila","H1","testa",3.9
48,"Huila","H1","testa",4.3
48,"Huila","H1","testa",4.4
72,"Huila","H1","testa",3.9
72,"Huila","H1","testa",4.4
72,"Huila","H1","testa",4.2
96,"Huila","H1","testa",4.2
96,"Huila","H1","testa",4.2
96,"Huila","H1","testa",4.1
0,"Huila","H1","cotyledon",6.4
0,"Huila","H1","cotyledon",6.4
0,"Huila","H1","cotyledon",6.1
24,"Huila","H1","cotyledon",6.2
24,"Huila","H1","cotyledon",6.3
24,"Huila","H1","cotyledon",6.4
48,"Huila","H1","cotyledon",6.2
48,"Huila","H1","cotyledon",6.4
48,"Huila","H1","cotyledon",6.4
72,"Huila","H1","cotyledon",4.4
72,"Huila","H1","cotyledon",5.1
72,"Huila","H1","cotyledon",4.7
96,"Huila","H1","cotyledon",4.3
96,"Huila","H1","cotyledon",4.3
96,"Huila","H1","cotyledon",4.3
0,"Santander","H1","testa",3.5
0,"Santander","H1","testa",3.5
0,"Santander","H1","testa",3.5
24,"Santander","H1","testa",3.8
24,"Santander","H1","testa",4.1
24,"Santander","H1","testa",3.9
48,"Santander","H1","testa",3.6
48,"Santander","H1","testa",4.2
48,"Santander","H1","testa",4.1
72,"Santander","H1","testa",4.2
72,"Santander","H1","testa",4.1
72,"Santander","H1","testa",4.1
96,"Santander","H1","testa",4.1
96,"Santander","H1","testa",4.2
96,"Santander","H1","testa",4.2
0,"Santander","H1","cotyledon",6.2
0,"Santander","H1","cotyledon",6.2
0,"Santander","H1","cotyledon",6.1
24,"Santander","H1","cotyledon",6.1
24,"Santander","H1","cotyledon",6.3
24,"Santander","H1","cotyledon",6.2
48,"Santander","H1","cotyledon",6.2
48,"Santander","H1","cotyledon",6.2
48,"Santander","H1","cotyledon",6.2
72,"Santander","H1","cotyledon",5.8
72,"Santander","H1","cotyledon",6
72,"Santander","H1","cotyledon",5.9
96,"Santander","H1","cotyledon",5
96,"Santander","H1","cotyledon",5.4
96,"Santander","H1","cotyledon",5.3
0,"Huila","H2","testa",4
0,"Huila","H2","testa",3.7
0,"Huila","H2","testa",3.9
24,"Huila","H2","testa",4.3
24,"Huila","H2","testa",4.1
24,"Huila","H2","testa",4
48,"Huila","H2","testa",4.2
48,"Huila","H2","testa",4.2
48,"Huila","H2","testa",4.1
72,"Huila","H2","testa",4
72,"Huila","H2","testa",4
72,"Huila","H2","testa",4
96,"Huila","H2","testa",4.7
96,"Huila","H2","testa",4.5
96,"Huila","H2","testa",4.5
120,"Huila","H2","testa",4.3
120,"Huila","H2","testa",4.3
120,"Huila","H2","testa",4.5
144,"Huila","H2","testa",4.3
144,"Huila","H2","testa",4.4
144,"Huila","H2","testa",4.3
0,"Huila","H2","cotyledon",6
0,"Huila","H2","cotyledon",5.9
0,"Huila","H2","cotyledon",5.9
24,"Huila","H2","cotyledon",5.9
24,"Huila","H2","cotyledon",6.3
24,"Huila","H2","cotyledon",6.4
48,"Huila","H2","cotyledon",6
48,"Huila","H2","cotyledon",6.1
48,"Huila","H2","cotyledon",6.2
72,"Huila","H2","cotyledon",5.6
72,"Huila","H2","cotyledon",5.3
72,"Huila","H2","cotyledon",5.9
96,"Huila","H2","cotyledon",5.1
96,"Huila","H2","cotyledon",4.7
96,"Huila","H2","cotyledon",5.1
120,"Huila","H2","cotyledon",4.5
120,"Huila","H2","cotyledon",4.3
120,"Huila","H2","cotyledon",4.4
144,"Huila","H2","cotyledon",4.3
144,"Huila","H2","cotyledon",4.3
144,"Huila","H2","cotyledon",4.4
0,"Santander","H2","testa",3.8
0,"Santander","H2","testa",3.8
0,"Santander","H2","testa",3.7
24,"Santander","H2","testa",3.9
24,"Santander","H2","testa",3.6
24,"Santander","H2","testa",3.6
48,"Santander","H2","testa",3.6
48,"Santander","H2","testa",3.6
48,"Santander","H2","testa",3.6
72,"Santander","H2","testa",4.2
72,"Santander","H2","testa",4
72,"Santander","H2","testa",4.2
96,"Santander","H2","testa",3.9
96,"Santander","H2","testa",4
96,"Santander","H2","testa",4
120,"Santander","H2","testa",4.4
120,"Santander","H2","testa",4.4
120,"Santander","H2","testa",4.4
144,"Santander","H2","testa",4.3
144,"Santander","H2","testa",4.3
144,"Santander","H2","testa",4.3
168,"Santander","H2","testa",4.5
168,"Santander","H2","testa",4.6
168,"Santander","H2","testa",4.5
0,"Santander","H2","cotyledon",6.2
0,"Santander","H2","cotyledon",6.2
0,"Santander","H2","cotyledon",6.1
24,"Santander","H2","cotyledon",6.2
24,"Santander","H2","cotyledon",6
24,"Santander","H2","cotyledon",5.8
48,"Santander","H2","cotyledon",6
48,"Santander","H2","cotyledon",6.1
48,"Santander","H2","cotyledon",6.3
72,"Santander","H2","cotyledon",6.3
72,"Santander","H2","cotyledon",6.3
72,"Santander","H2","cotyledon",6.3
96,"Santander","H2","cotyledon",4.7
96,"Santander","H2","cotyledon",4.8
96,"Santander","H2","cotyledon",4.6
120,"Santander","H2","cotyledon",4.6
120,"Santander","H2","cotyledon",4.5
120,"Santander","H2","cotyledon",4.6
144,"Santander","H2","cotyledon",4.1
144,"Santander","H2","cotyledon",4.3
144,"Santander","H2","cotyledon",4.3
168,"Santander","H2","cotyledon",4.2
168,"Santander","H2","cotyledon",4.3
168,"Santander","H2","cotyledon",4.3
0,"Antioquia","H2","testa",4
0,"Antioquia","H2","testa",4
0,"Antioquia","H2","testa",4.1
24,"Antioquia","H2","testa",4.3
24,"Antioquia","H2","testa",4.4
24,"Antioquia","H2","testa",4.5
48,"Antioquia","H2","testa",4.7
48,"Antioquia","H2","testa",4.8
48,"Antioquia","H2","testa",4.8
72,"Antioquia","H2","testa",4.9
72,"Antioquia","H2","testa",4.9
72,"Antioquia","H2","testa",5
96,"Antioquia","H2","testa",5
96,"Antioquia","H2","testa",4.9
96,"Antioquia","H2","testa",4.9
120,"Antioquia","H2","testa",5.4
120,"Antioquia","H2","testa",5.5
120,"Antioquia","H2","testa",5.4
144,"Antioquia","H2","testa",6.1
144,"Antioquia","H2","testa",6.5
144,"Antioquia","H2","testa",6.8
168,"Antioquia","H2","testa",7.3
168,"Antioquia","H2","testa",7.6
168,"Antioquia","H2","testa",7.5
0,"Antioquia","H2","cotyledon",6.2
0,"Antioquia","H2","cotyledon",6
0,"Antioquia","H2","cotyledon",6.2
24,"Antioquia","H2","cotyledon",5.1
24,"Antioquia","H2","cotyledon",5.7
24,"Antioquia","H2","cotyledon",4.6
48,"Antioquia","H2","cotyledon",4.9
48,"Antioquia","H2","cotyledon",5
48,"Antioquia","H2","cotyledon",5.1
72,"Antioquia","H2","cotyledon",5
72,"Antioquia","H2","cotyledon",5.1
72,"Antioquia","H2","cotyledon",5.2
96,"Antioquia","H2","cotyledon",4.9
96,"Antioquia","H2","cotyledon",4.9
96,"Antioquia","H2","cotyledon",4.9
120,"Antioquia","H2","cotyledon",5.4
120,"Antioquia","H2","cotyledon",5.3
120,"Antioquia","H2","cotyledon",5.4
144,"Antioquia","H2","cotyledon",5.3
144,"Antioquia","H2","cotyledon",5.5
144,"Antioquia","H2","cotyledon",5.5
168,"Antioquia","H2","cotyledon",6.3
168,"Antioquia","H2","cotyledon",6.3
168,"Antioquia","H2","cotyledon",6.6
