"Time","Location","Harvest","Depth","Temperature","X","X.1"
0,"Huila","H1","top",24.9,NA,NA
0,"Huila","H1","top",24.6,NA,NA
0,"Huila","H1","top",23.8,NA,NA
24,"Huila","H1","top",27.6,NA,NA
24,"Huila","H1","top",25.7,NA,NA
24,"Huila","H1","top",26.3,NA,NA
48,"Huila","H1","top",31.9,NA,NA
48,"Huila","H1","top",29.7,NA,NA
48,"Huila","H1","top",33.2,NA,NA
72,"Huila","H1","top",43.8,NA,NA
72,"Huila","H1","top",46.4,NA,NA
72,"Huila","H1","top",46.5,NA,NA
96,"Huila","H1","top",38.1,NA,NA
96,"Huila","H1","top",45.7,NA,NA
96,"Huila","H1","top",42.3,NA,NA
0,"Huila","H1","mid-box",24.8,NA,NA
0,"Huila","H1","mid-box",24.7,NA,NA
0,"Huila","H1","mid-box",24.2,NA,NA
24,"Huila","H1","mid-box",26.1,NA,NA
24,"Huila","H1","mid-box",25.1,NA,NA
24,"Huila","H1","mid-box",25.2,NA,NA
48,"Huila","H1","mid-box",30.3,NA,NA
48,"Huila","H1","mid-box",29,NA,NA
48,"Huila","H1","mid-box",30.7,NA,NA
72,"Huila","H1","mid-box",43.1,NA,NA
72,"Huila","H1","mid-box",44.1,NA,NA
72,"Huila","H1","mid-box",46.1,NA,NA
96,"Huila","H1","mid-box",36.1,NA,NA
96,"Huila","H1","mid-box",44.5,NA,NA
96,"Huila","H1","mid-box",39.8,NA,NA
0,"Santander","H1","top",26,NA,NA
0,"Santander","H1","top",26.2,NA,NA
0,"Santander","H1","top",25.9,NA,NA
24,"Santander","H1","top",26.1,NA,NA
24,"Santander","H1","top",26.2,NA,NA
24,"Santander","H1","top",26.2,NA,NA
48,"Santander","H1","top",30.2,NA,NA
48,"Santander","H1","top",29.4,NA,NA
48,"Santander","H1","top",30.4,NA,NA
72,"Santander","H1","top",36.1,NA,NA
72,"Santander","H1","top",35.7,NA,NA
72,"Santander","H1","top",36.8,NA,NA
96,"Santander","H1","top",40.8,NA,NA
96,"Santander","H1","top",33.8,NA,NA
96,"Santander","H1","top",39.8,NA,NA
0,"Santander","H1","mid-box",27,NA,NA
0,"Santander","H1","mid-box",26.4,NA,NA
0,"Santander","H1","mid-box",26.6,NA,NA
24,"Santander","H1","mid-box",26.3,NA,NA
24,"Santander","H1","mid-box",26.5,NA,NA
24,"Santander","H1","mid-box",26.3,NA,NA
48,"Santander","H1","mid-box",27.1,NA,NA
48,"Santander","H1","mid-box",27,NA,NA
48,"Santander","H1","mid-box",27.3,NA,NA
72,"Santander","H1","mid-box",36.6,NA,NA
72,"Santander","H1","mid-box",36,NA,NA
72,"Santander","H1","mid-box",37.8,NA,NA
96,"Santander","H1","mid-box",36.2,NA,NA
96,"Santander","H1","mid-box",35.6,NA,NA
96,"Santander","H1","mid-box",33.9,NA,NA
0,"Huila","H2","top",24.2,NA,NA
0,"Huila","H2","top",23.6,NA,NA
0,"Huila","H2","top",23.6,NA,NA
24,"Huila","H2","top",25.7,NA,NA
24,"Huila","H2","top",25.6,NA,NA
24,"Huila","H2","top",25.7,NA,NA
48,"Huila","H2","top",30.5,NA,NA
48,"Huila","H2","top",27.3,NA,NA
48,"Huila","H2","top",32.1,NA,NA
72,"Huila","H2","top",42.2,NA,NA
72,"Huila","H2","top",39.8,NA,NA
72,"Huila","H2","top",43.8,NA,NA
96,"Huila","H2","top",46.1,NA,NA
96,"Huila","H2","top",50.7,NA,NA
96,"Huila","H2","top",47.3,NA,NA
120,"Huila","H2","top",49.7,NA,NA
120,"Huila","H2","top",50.3,NA,NA
120,"Huila","H2","top",50.4,NA,NA
144,"Huila","H2","top",45,NA,NA
144,"Huila","H2","top",48.4,NA,NA
144,"Huila","H2","top",45.5,NA,NA
0,"Huila","H2","mid-box",23.1,NA,NA
0,"Huila","H2","mid-box",23.1,NA,NA
0,"Huila","H2","mid-box",23.1,NA,NA
24,"Huila","H2","mid-box",24.6,NA,NA
24,"Huila","H2","mid-box",24.8,NA,NA
24,"Huila","H2","mid-box",24.8,NA,NA
48,"Huila","H2","mid-box",27.2,NA,NA
48,"Huila","H2","mid-box",25.7,NA,NA
48,"Huila","H2","mid-box",27.1,NA,NA
72,"Huila","H2","mid-box",43.1,NA,NA
72,"Huila","H2","mid-box",37.8,NA,NA
72,"Huila","H2","mid-box",40.1,NA,NA
96,"Huila","H2","mid-box",45.2,NA,NA
96,"Huila","H2","mid-box",50.8,NA,NA
96,"Huila","H2","mid-box",46.6,NA,NA
120,"Huila","H2","mid-box",49.2,NA,NA
120,"Huila","H2","mid-box",48.6,NA,NA
120,"Huila","H2","mid-box",49.5,NA,NA
144,"Huila","H2","mid-box",44.5,NA,NA
144,"Huila","H2","mid-box",47.3,NA,NA
144,"Huila","H2","mid-box",44,NA,NA
0,"Santander","H2","top",25.2,NA,NA
0,"Santander","H2","top",25.1,NA,NA
0,"Santander","H2","top",24.8,NA,NA
24,"Santander","H2","top",24.8,NA,NA
24,"Santander","H2","top",25.3,NA,NA
24,"Santander","H2","top",25.4,NA,NA
48,"Santander","H2","top",28.2,NA,NA
48,"Santander","H2","top",28.9,NA,NA
48,"Santander","H2","top",29,NA,NA
72,"Santander","H2","top",33.9,NA,NA
72,"Santander","H2","top",35.6,NA,NA
72,"Santander","H2","top",37,NA,NA
96,"Santander","H2","top",49.1,NA,NA
96,"Santander","H2","top",39.1,NA,NA
96,"Santander","H2","top",47.2,NA,NA
120,"Santander","H2","top",49.6,NA,NA
120,"Santander","H2","top",47.3,NA,NA
120,"Santander","H2","top",47.4,NA,NA
144,"Santander","H2","top",48.4,NA,NA
144,"Santander","H2","top",49.3,NA,NA
144,"Santander","H2","top",49.7,NA,NA
168,"Santander","H2","top",49.4,NA,NA
168,"Santander","H2","top",49.8,NA,NA
168,"Santander","H2","top",47.6,NA,NA
0,"Santander","H2","mid-box",24.5,NA,NA
0,"Santander","H2","mid-box",23.8,NA,NA
0,"Santander","H2","mid-box",24.1,NA,NA
24,"Santander","H2","mid-box",24.6,NA,NA
24,"Santander","H2","mid-box",24.8,NA,NA
24,"Santander","H2","mid-box",25.2,NA,NA
48,"Santander","H2","mid-box",26.8,NA,NA
48,"Santander","H2","mid-box",27.1,NA,NA
48,"Santander","H2","mid-box",27.2,NA,NA
72,"Santander","H2","mid-box",32.8,NA,NA
72,"Santander","H2","mid-box",33.9,NA,NA
72,"Santander","H2","mid-box",35.3,NA,NA
96,"Santander","H2","mid-box",49.6,NA,NA
96,"Santander","H2","mid-box",38,NA,NA
96,"Santander","H2","mid-box",38.6,NA,NA
120,"Santander","H2","mid-box",46.2,NA,NA
120,"Santander","H2","mid-box",46.1,NA,NA
120,"Santander","H2","mid-box",46.1,NA,NA
144,"Santander","H2","mid-box",47.2,NA,NA
144,"Santander","H2","mid-box",47.3,NA,NA
144,"Santander","H2","mid-box",47.1,NA,NA
168,"Santander","H2","mid-box",48.1,NA,NA
168,"Santander","H2","mid-box",47.3,NA,NA
168,"Santander","H2","mid-box",44.8,NA,NA
0,"Antioquia","H2","top",27.2,NA,NA
0,"Antioquia","H2","top",27.5,NA,NA
0,"Antioquia","H2","top",27.5,NA,NA
24,"Antioquia","H2","top",30.1,NA,NA
24,"Antioquia","H2","top",31.7,NA,NA
24,"Antioquia","H2","top",31.6,NA,NA
48,"Antioquia","H2","top",39.2,NA,NA
48,"Antioquia","H2","top",40.9,NA,NA
48,"Antioquia","H2","top",40.5,NA,NA
72,"Antioquia","H2","top",39,NA,NA
72,"Antioquia","H2","top",41.1,NA,NA
72,"Antioquia","H2","top",41.7,NA,NA
96,"Antioquia","H2","top",45.1,NA,NA
96,"Antioquia","H2","top",45.6,NA,NA
96,"Antioquia","H2","top",46,NA,NA
120,"Antioquia","H2","top",38.4,NA,NA
120,"Antioquia","H2","top",40.1,NA,NA
120,"Antioquia","H2","top",37.1,NA,NA
144,"Antioquia","H2","top",37.5,NA,NA
144,"Antioquia","H2","top",38.2,NA,NA
144,"Antioquia","H2","top",38,NA,NA
168,"Antioquia","H2","top",32,NA,NA
168,"Antioquia","H2","top",35.2,NA,NA
168,"Antioquia","H2","top",33.1,NA,NA
0,"Antioquia","H2","mid-box",25.5,NA,NA
0,"Antioquia","H2","mid-box",27.1,NA,NA
0,"Antioquia","H2","mid-box",27.2,NA,NA
24,"Antioquia","H2","mid-box",31.9,NA,NA
24,"Antioquia","H2","mid-box",32.3,NA,NA
24,"Antioquia","H2","mid-box",31.8,NA,NA
48,"Antioquia","H2","mid-box",39.8,NA,NA
48,"Antioquia","H2","mid-box",42.2,NA,NA
48,"Antioquia","H2","mid-box",40.9,NA,NA
72,"Antioquia","H2","mid-box",42.1,NA,NA
72,"Antioquia","H2","mid-box",42.3,NA,NA
72,"Antioquia","H2","mid-box",41.1,NA,NA
96,"Antioquia","H2","mid-box",47.3,NA,NA
96,"Antioquia","H2","mid-box",47.8,NA,NA
96,"Antioquia","H2","mid-box",48.1,NA,NA
120,"Antioquia","H2","mid-box",39,NA,NA
120,"Antioquia","H2","mid-box",41.2,NA,NA
120,"Antioquia","H2","mid-box",39.4,NA,NA
144,"Antioquia","H2","mid-box",37.1,NA,NA
144,"Antioquia","H2","mid-box",39.3,NA,NA
144,"Antioquia","H2","mid-box",36.4,NA,NA
168,"Antioquia","H2","mid-box",33.2,NA,NA
168,"Antioquia","H2","mid-box",36.4,NA,NA
168,"Antioquia","H2","mid-box",35.2,NA,NA
